GRB,BAT RA (J2000),BAT Dec (J2000),BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec],XRT Time to First Observation [sec],XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT Spectral Index (Gamma),XRT Column Density (NH) [10^21 cm^-2],UVOT Time to First Observation [sec],Redshift,log(BAT T90 [sec]),log(BAT Fluence (15-150 keV) [10^-7 erg/cm^2]),log(BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]),log(XRT Time to First Observation [sec]),log(XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT Spectral Index (Gamma)),log(XRT Column Density (NH) [10^21 cm^-2]),log(UVOT Time to First Observation [sec]),log(Redshift),NORM(BAT T90 [sec]),NORM(BAT Fluence (15-150 keV) [10^-7 erg/cm^2]),NORM(BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]),NORM(XRT Time to First Observation [sec]),NORM(XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT Spectral Index (Gamma)),NORM(XRT Column Density (NH) [10^21 cm^-2]),NORM(UVOT Time to First Observation [sec]),NORM(Redshift)
221110A,29.106,-27.298,8.98,5.1,1.1,53.05,79.1,0.071888206,0.034150506,1.88143,8.36907,83,4.06,0.953276337,0.707570176,0.041392685,1.724685388,1.898176483,-1.143342354,-1.466602857,0.274488065,21.9226772,1.919078092,0.608526034,0.007980142,0.001548537,0.003323263,0.002827376,1.29E-12,0.007312757,0.010257637,0.269644468,0.109189792,0.007708986,0.674671317
220117A,91.59,-28.402,49.81,16,1.9,151.94,60.1,0.051037596,0.011478556,1.78537,9.89303,162,4.961,1.697316542,1.204119983,0.278753601,2.181672122,1.778874472,-1.29210979,-1.940112743,0.251728233,21.99532933,2.209515015,0.695569227,0.045518066,0.005065006,0.005740181,0.03331802,9.80E-13,0.005191749,0.003447763,0.207288495,0.129072632,0.026740544,0.82576469
220101A,1.36,31.758,173.36,250,7.3,80.78,1300,2.37212832,0.89096592,1.62241,8.01125,90,4.61,2.238948898,2.397940009,0.86332286,1.907303849,3.113943352,0.375138178,-0.050138908,0.210160615,21.90370028,1.954242509,0.663700925,0.159106371,0.080556183,0.022054381,0.011377336,2.12E-11,0.241302426,0.267615518,0.101505346,0.104521377,0.009395326,0.766903676
210822A,304.461,5.265,180.8,200,27.7,74.56,1250,0.72733342,0.182436529,1.70788,3.41368,85,1.736,2.257198426,2.301029996,1.442479769,1.872505899,3.096910013,-0.138266457,-0.738888199,0.232457353,21.53322281,1.929418926,0.239549721,0.165946493,0.06442559,0.083685801,0.00945953,2.04E-11,0.073987278,0.054797658,0.156986972,0.044537686,0.008190797,0.284947679
210731A,300.311,-28.056,22.51,22,1.6,200.92,79.6,0.1571493,0.04720947,2.06317,0.832807,210,1.2525,1.352375495,1.342422681,0.204119983,2.303023169,1.900913068,-0.803687549,-1.325970875,0.314535014,20.92054437,2.322219295,0.097777735,0.020419233,0.007000677,0.004833837,0.048419969,1.30E-12,0.015985858,0.014180101,0.387618386,0.010865487,0.038304023,0.203867051
210722A,27.031,-6.347,50.2,25,2.2,84.84,290,0.11491585,0.0367262,1.83712,0.347208,94,1.145,1.700703717,1.397940009,0.342422681,1.92860066,2.462397998,-0.939620066,-1.435024005,0.264137525,20.54058972,1.973127854,0.058805487,0.04587662,0.007968513,0.006646526,0.012629151,4.74E-12,0.011689702,0.011031287,0.240881267,0.004529962,0.01035895,0.185839818
210619B,319.718,33.85,60.9,950,115,328.05,427,2.03384822,0.6357626,1.92306,6.82815,136,1.937,1.784617293,2.977723605,2.06069784,2.515940042,2.630427875,0.30831854,-0.196705024,0.283992835,21.83430305,2.133538908,0.287129621,0.055713892,0.306384489,0.347432024,0.08761782,6.98E-12,0.206891214,0.190961218,0.296667987,0.089085679,0.020476993,0.318654414
210610B,243.929,14.398,69.38,360,13.5,83.92,1070,0.6971404,0.262520555,1.91684,1.09095,92,1.13,1.841234296,2.556302501,1.130333768,1.923865475,3.029383778,-0.156679749,-0.580836686,0.282585864,21.03780485,1.963787827,0.053078443,0.063510159,0.116043488,0.040785498,0.012345489,1.75E-11,0.070915923,0.078852145,0.292630363,0.014233434,0.009877138,0.18332439
201024A,125.959,3.357,5,8.1,3.7,74.89,64.1,0.040878928,0.019114152,2.07522,1.698663,495,0.999,0.698970004,0.908485019,0.568201724,1.874423831,1.80685803,-1.388500502,-1.718644965,0.317064144,21.23010723,2.694605199,-0.000434512,0.004321044,0.002516373,0.011178248,0.009561279,1.05E-12,0.004158369,0.005741234,0.395440471,0.022162159,0.106962178,0.161356319
200829A,251.136,72.363,13.04,510,98.7,128.71,930,0.94375869,0.25233178,1.88219,1.22933,138,1.25,1.115277591,2.707570176,1.994317153,2.10961229,2.968482949,-0.025139036,-0.598028049,0.274663462,21.08966848,2.139879086,0.096910013,0.011712788,0.164435268,0.298187311,0.02615554,1.52E-11,0.096002927,0.075791788,0.270137812,0.016038853,0.020958805,0.203447813
