XRT Spectral Index (Gamma),XRT Column Density,XRT Early Flux,BAT T90,Redshift,,Log(XRT Spectral Index (Gamma)),Log(XRT Column Density),Log(XRT Early Flux),Log(BAT T900,Log(Redshift),,Norm(XRT Spectral Index (Gamma)),Norm(XRT Column Density),Norm(XRT Early Flux),Norm(BAT T90),Norm(Redshift)
1.88143,8.36907,79.1,8.98,4.06,,0.274488065,21.9226772,1.898176483,0.953276337,0.608526034,,0.048686351,0.024546688,1.29173E-12,0.008062218,0.674671317
1.836,5.4,2510,1068.4,0.151,,0.263872677,21.73239376,3.399673721,3.028733879,-0.821023053,,0.043361666,0.023953971,4.10123E-11,0.981981816,0.019150792
1.78537,9.89303,60.1,49.81,4.961,,0.251728233,21.99532933,1.778874472,1.697316542,0.695569227,,0.037427508,0.02329341,9.81275E-13,0.045597036,0.82576469
1.62241,8.01125,1300,173.36,4.61,,0.210160615,21.90370028,3.113943352,2.238948898,0.663700925,,0.018327559,0.021167299,2.12411E-11,0.159175944,0.766903676
1.70788,3.41368,1250,180.8,1.736,,0.232457353,21.53322281,3.096910013,2.257198426,0.239549721,,0.028345187,0.022282412,2.04241E-11,0.166015499,0.284947679
2.06317,0.832807,79.6,22.51,1.2525,,0.314535014,20.92054437,1.900913068,1.352375495,0.097777735,,0.069987435,0.026917818,1.2999E-12,0.02050028,0.203867051
1.83712,0.347208,290,50.2,1.145,,0.264137525,20.54058972,2.462397998,1.700703717,0.058805487,,0.043492937,0.023968583,4.73781E-12,0.045955561,0.185839818
1.96307,2.26212,1000,138.2,1.1757,,0.292935786,21.35451564,3,2.140508043,0.070296518,,0.058255079,0.025611831,1.63391E-11,0.126853529,0.19098806
1.92306,6.82815,427,60.9,1.937,,0.283992835,21.83430305,2.630427875,1.784617293,0.287129621,,0.053565652,0.025089827,6.97637E-12,0.055792019,0.318654414
1.91684,1.09095,1070,69.38,1.13,,0.282585864,21.03780485,3.029383778,1.841234296,0.053078443,,0.052836628,0.025008676,1.74829E-11,0.063587641,0.18332439
2.07522,1.698663,64.1,5,0.999,,0.317064144,21.23010723,1.80685803,0.698970004,-0.000434512,,0.071399772,0.027075032,1.04663E-12,0.004403423,0.161356319
1.88219,1.22933,930,13.04,1.25,,0.274663462,21.08966848,2.968482949,1.115277591,0.096910013,,0.048775428,0.024556604,1.51953E-11,0.011794556,0.203447813
1.90881,5.74E-05,126,458,1.465,,0.280762702,16.75891189,2.100370545,2.660865478,0.165837625,,0.051895461,0.02490391,2.05807E-12,0.420844097,0.239502281
1.843,2.13E-05,972,48,1.19,,0.265525335,16.3283796,2.987666265,1.681241237,0.075546961,,0.044182111,0.024045299,1.58816E-11,0.043933112,0.193386101
1.54076,0.200376,181,37.7,3.503,,0.187734995,20.3018457,2.257678575,1.57634135,0.544440137,,0.008757659,0.020102026,2.95676E-12,0.034464373,0.581265093
2.0913,11.196957,77.5,58.2,0.0785,,0.320416337,22.04910001,1.889301703,1.764922985,-1.105130343,,0.07328445,0.027284825,1.26559E-12,0.053309922,0.00699289
1.5415,0.899137,1690,185.7,2.469,,0.187943529,20.95382587,3.227886705,2.268811904,0.39252109,,0.008844392,0.020111681,2.76136E-11,0.170520045,0.407868259
1.95997,1.807500377,79.8,1.6,1.942,,0.292249424,21.2570784,1.902002891,0.204119983,0.288249226,,0.057891739,0.025571386,1.30317E-12,0.00127782,0.31949289
1.80689,76.647,7390,361.5,0.42,,0.256931714,22.88449516,3.868644438,2.558108302,-0.37675071,,0.039949789,0.023574178,1.20751E-10,0.332132121,0.0642608
1.83214,4.41327,118,66.6,3.3765,,0.262958657,21.6447605,2.071882007,1.823474229,0.528466754,,0.042909249,0.02390361,1.92735E-12,0.061032001,0.56005165
1.94587,5.53E-07,1980,76.8,1.86,,0.289113822,14.74272513,3.29666519,1.88536122,0.269512944,,0.056239129,0.025387425,3.23522E-11,0.070408811,0.305741884
1.76057,0.766177067,5820,138.4,1.505,,0.245653297,20.88432915,3.764922985,2.14113609,0.1775365,,0.03452079,0.022969849,9.50973E-11,0.127037388,0.246210089
1.93674,0.453975,604,238,2.938,,0.287071322,20.65703194,2.781036939,2.376576957,0.468051791,,0.055169035,0.025268308,9.86853E-12,0.218599178,0.486517306
1.70111,3.866656,79.2,8.68,0.117,,0.230732398,21.58733554,1.898725182,0.938519725,-0.931814138,,0.0275517,0.022194085,1.29337E-12,0.007786429,0.013449155
2.06008,1.26899,193,486.4,2.855,,0.313884086,21.1034582,2.285557309,2.686993566,0.455606113,,0.069625268,0.026877503,3.15284E-12,0.446952077,0.472598605
1.99236,1.646011,704,198.8,1.1175,,0.299367814,21.21643273,2.847572659,2.29841638,0.048247532,,0.061688053,0.025993972,1.15025E-11,0.182562811,0.1812282
1.86768,2.62957,45.7,210,1.998,,0.271302468,21.41988474,1.6599162,2.322219295,0.300595484,,0.047074764,0.024367294,7.4598E-13,0.192858916,0.328883821
1.85846,13.9058,468,94.1,2.25,,0.269153218,22.14319598,2.670245853,1.973589623,0.352182518,,0.045994121,0.024247002,7.64631E-12,0.086312615,0.37114301
1.76908,7.38E-13,158,51.2,1.445,,0.247747473,8.868056362,2.198657087,1.709269961,0.159867847,,0.035518216,0.023080877,2.58095E-12,0.046874856,0.236148377
1.88733,3.11456,95,15.5,1.409,,0.275847843,21.4933967,1.977723605,1.190331698,0.148910993,,0.049377869,0.024623664,1.55154E-12,0.014056022,0.23011135
1.9512,0.411125,35.7,40.9,2.487,,0.290301787,20.61397389,1.552668216,1.611723308,0.395675785,,0.056863839,0.025456965,5.82582E-13,0.037406117,0.410886772
1.99001,0.106857003,669,174.8,2.409,,0.298855259,20.02880299,2.825426118,2.242541428,0.3818368,,0.061412618,0.025963312,1.09306E-11,0.160499729,0.397806547
1.66173,0.0472535,281,189.4,0.0368,,0.22056046,19.67443398,2.44870632,2.277379975,-1.434152181,,0.022936113,0.021680301,4.59075E-12,0.173921437,0
1.89159,1.227214,157,217.3,2.01,,0.276827009,21.0889203,2.195899652,2.337059726,0.303196057,,0.049877168,0.024679244,2.56461E-12,0.19956977,0.330896163
2.06685,4.31E-12,273,164.13,2.366,,0.315308959,9.63447727,2.436162647,2.215187969,0.37401474,,0.070418755,0.02696583,4.46003E-12,0.15069085,0.390595653
1.97351,2.18739,358,216.4,0.818,,0.295239331,21.33992622,2.553883027,2.335257256,-0.087246696,,0.059478713,0.02574804,5.84892E-12,0.198742404,0.131003488
1.99768,5.19173,221,46.2,3.645,,0.300525922,21.7153121,2.344392274,1.664641976,0.561697533,,0.062311591,0.026063381,3.61036E-12,0.042278381,0.605077811
1.81917,2.77299,101,20.66,1.968,,0.259873285,21.4429483,2.004321374,1.315130317,0.294025094,,0.041389083,0.023734393,1.64958E-12,0.018799584,0.323852965
1.92624,7.53995,804,125.7,1.549,,0.284710397,21.87736847,2.905256049,2.099335278,0.190051418,,0.053938368,0.025131316,1.31365E-11,0.11536234,0.253588677
2.00325,1.447928,863,105.1,1.159,,0.301735151,21.16074697,2.936010796,2.021602716,0.064083436,,0.06296443,0.026136052,1.41006E-11,0.096424861,0.18818755
1.99404,1.58757,324,216.3,2.0127,,0.299733866,21.20073288,2.51054501,2.335056519,0.303779047,,0.06188496,0.026015891,5.29337E-12,0.198650475,0.33134894
1.65672,1.33E-11,104,8.2,1.717,,0.219249115,10.12385164,2.017033339,0.913813852,0.234770295,,0.022348909,0.021614936,1.69859E-12,0.007345168,0.28176147
1.93554,0.532793,101,28,4.99,,0.286802151,20.72655851,2.004321374,1.447158031,0.698100546,,0.055028387,0.025252652,1.64958E-12,0.02554721,0.830627851
1.72551,2.62964,267,316.5,2.38,,0.236917481,21.4198963,2.426511261,2.500373714,0.376576957,,0.030411535,0.022512427,4.36199E-12,0.290763842,0.392943386
2.02332,4.79697,1290,325,0.97,,0.306064574,21.680967,3.11058971,2.511883361,-0.013228266,,0.065316762,0.026397902,2.10777E-11,0.298577851,0.156493158
1.78024,0.606749,185,76.93,3.5,,0.250478555,20.78300907,2.267171728,1.886095732,0.544068044,,0.036826239,0.02322648,3.02212E-12,0.070528319,0.580762007
1.81176,41.4649,53.7,80,4.063,,0.258100667,22.61768062,1.729974286,1.903089987,0.608846822,,0.040520584,0.023637716,8.76699E-13,0.073350555,0.675174403
2.00612,4.47471,708,129.69,0.38,,0.302356908,21.65076489,2.850033258,2.11290649,-0.420216403,,0.063300812,0.026173497,1.15679E-11,0.119030328,0.057552992
1.96079,21.701,2760,110.2,2.33,,0.292431083,22.33647975,3.440909082,2.042181595,0.367355921,,0.057987848,0.025582084,4.50973E-11,0.101113266,0.384558626
1.79,0.86,557,164.7,1.968,,0.252853031,20.93449845,2.745855195,2.216693599,0.294025094,,0.037970173,0.023353817,9.10056E-12,0.151214848,0.323852965
1.78547,0.6957,223,112.2,1.359,,0.251752557,20.842422,2.348304863,2.049992857,0.133219457,,0.037439229,0.023294715,3.64304E-12,0.102951857,0.22172659
2.21622,21.9065,349,172.1,0.755,,0.34561287,22.340573,2.542825427,2.23578087,-0.122053048,,0.087925869,0.028914635,5.70186E-12,0.158017632,0.120438691
1.9776,0.886699,1590,123.3,0.282,,0.296138453,20.94777622,3.201397124,2.090963077,-0.549750892,,0.059958087,0.025801401,2.59796E-11,0.113156032,0.041118862
1.79253,1.08E-09,893,88,0.313,,0.253466433,12.03342376,2.950851459,1.944482672,-0.504455662,,0.038266705,0.023386825,1.45908E-11,0.080704915,0.046317413
1.98937,1.044425,287,91,3,,0.298715564,21.01887726,2.457881897,1.959041392,0.477121255,,0.061337606,0.025954962,4.68879E-12,0.083462801,0.496914408
1.70996,6.17159,634,40.9,2.06,,0.232985951,21.79039707,2.802089258,1.611723308,0.31386722,,0.028588976,0.022309549,1.03587E-11,0.037406117,0.339280923
2.0639,4.92829,3250,149.6,0.593,,0.314688651,21.69269626,3.511883361,2.174931594,-0.226945307,,0.070072996,0.026927342,5.31038E-11,0.137333493,0.093272069
1.84772,10.4028,585,14.79,1.758,,0.26663616,22.01715025,2.767155866,1.169968174,0.245018871,,0.044735325,0.02410688,9.55807E-12,0.013403322,0.288636973
