GRB,BAT RA (J2000),BAT Dec (J2000),XRT Spectral Index (Gamma),XRT Column Density (NH),BAT Fluence,BAT T90,Redshift,Normalized XRT Spectral Index (Gamma),Normalized XRT Column Density (NH),Normalized BAT Fluence,Normalized BAT T90,Normalized Redshift,Log10 Scale XRT Spectral Index (Gamma),Log10 Scale XRT Column Density (NH),Log10 Scale BAT Fluence,Log10 Scale BAT T90,Log10 Scale Redshift
230116D,98.584,49.831,1.76412,1.45E+12,8.12,41,3.81,-0.467436653,-0.636298672,-0.279222012,-0.328474453,1.299981924,0.246528124,12.161368,0.909556029,1.612783857,0.580924976
221226B,22.903,-41.515,1.59023,1.35415E+22,5.4,3.44,2.694,-0.788981526,0.826677214,-0.292540974,-0.551286238,0.492688755,0.201459942,22.13166677,0.73239376,0.536558443,0.430397591
221110A,29.106,-27.298,1.88143,8.36907E+21,5.1,8.98,4.06,-0.250515444,0.267866125,-0.294009977,-0.518422093,1.480827168,0.274488065,21.9226772,0.707570176,0.953276337,0.608526034
221009A,288.254,19.809,1.836,5.4E+21,740,1068.4,0.151,-0.33452133,-0.052901723,3.304558099,5.766222797,-1.346869067,0.263872677,21.73239376,2.86923172,3.028733879,-0.821023053
220611A,66.505,-37.265,1.90103,2.65913E+20,6.7,57,2.3608,-0.214272534,-0.607570368,-0.286175294,-0.233559954,0.251658213,0.27898897,20.42473959,0.826074803,1.755874856,0.373059196
220521A,275.218,10.372,2.02179,7.14942E+21,8.1,13.55,5.6,0.009028167,0.136099442,-0.279319946,-0.49131214,2.594833871,0.305736044,21.85427081,0.908485019,1.131939295,0.748188027
220117A,91.59,-28.402,1.78537,9.89303E+21,16,49.81,4.961,-0.428142682,0.432509387,-0.240636196,-0.276212157,2.132593427,0.251728233,21.99532933,1.204119983,1.697316542,0.695569227
220101A,1.36,31.758,1.62241,8.01125E+21,250,173.36,4.61,-0.729476586,0.229208515,0.90518627,0.456705738,1.878686704,0.210160615,21.90370028,2.397940009,2.238948898,0.663700925
211207A,149.601,-24.36,2.08,1.7E+21,1.9,3.73,2.272,0.116665909,-0.452636669,-0.309679345,-0.549565913,0.187421983,0.318063335,21.23044892,0.278753601,0.571708832,0.356408327
211024B,154.708,24.566,2.08,9.7E+20,68,603.5,1.1113,0.116665909,-0.531503294,0.013991019,3.008363393,-0.652206316,0.318063335,20.98677173,1.832508913,2.780677274,0.045831314
211023B,170.314,39.133,2.08,9.8E+20,1.7,1.3,0.862,0.116665909,-0.530422929,-0.31065868,-0.563981053,-0.832545193,0.318063335,20.99122608,0.230448921,0.113943352,-0.064492734
210822A,304.461,5.265,1.70788,3.41368E+21,200,180.8,1.736,-0.571431613,-0.267496728,0.660352409,0.50084098,-0.20031022,0.232457353,21.53322281,2.301029996,2.257198426,0.239549721
210731A,300.311,-28.056,2.06317,8.32807E+20,22,22.51,1.2525,0.085545085,-0.546325142,-0.211256133,-0.43816002,-0.550064922,0.314535014,20.92054437,1.342422681,1.352375495,0.097777735
210722A,27.031,-6.347,1.83712,3.47208E+20,25,50.2,1.145,-0.332450307,-0.598787544,-0.196566101,-0.273898616,-0.627828377,0.264137525,20.54058972,1.397940009,1.700703717,0.058805487
210702A,168.57,-36.741,1.96307,2.26212E+21,98,138.2,1.1757,-0.099552631,-0.391907208,0.160891335,0.248131127,-0.605620581,0.292935786,21.35451564,1.991226076,2.140508043,0.070296518
210619B,319.718,33.85,1.92306,6.82815E+21,950,60.9,1.937,-0.173536244,0.101390565,4.332860312,-0.210424545,-0.054910644,0.283992835,21.83430305,2.977723605,1.784617293,0.287129621
210610B,243.929,14.398,1.91684,1.09095E+21,360,69.38,1.13,-0.18503782,-0.518436283,1.443820762,-0.160119861,-0.638679092,0.282585864,21.03780485,2.556302501,1.841234296,0.053078443
210610A,204.284,14.476,1.83562,2.25621E+21,10,13.62,3.54,-0.335223999,-0.392545703,-0.270016259,-0.490896889,1.10466906,0.263782781,21.35337952,1,1.134177108,0.549003262
210517A,358.19,-39.104,1.71079,1.43775E+21,1.5,3.06,2.468,-0.566050651,-0.480969234,-0.311638015,-0.553540458,0.329204654,0.233196703,21.15768338,0.176091259,0.485721426,0.392345155
210504A,222.379,-30.557,2.11488,4.27E+16,27,135.06,2.077,0.181163495,-0.636294059,-0.186772747,0.229504157,0.046362692,0.32528573,16.63042788,1.431363764,2.130526745,0.317436497
210420B,254.313,42.558,1.61234,6.23E+13,15,158.8,1.4,-0.748097305,-0.636298665,-0.245532873,0.370333544,-0.443366228,0.207456628,13.79448805,1.176091259,2.200850498,0.146128036
210411C,296.601,-39.399,1.88408,1.14806E+21,12,12.8,2.826,-0.245615254,-0.51226632,-0.260222905,-0.495761257,0.588175043,0.275099339,21.05996459,1.079181246,1.10720997,0.451172158
210321A,87.887,70.109,1.99572,4.78789E+21,6.7,8.21,1.487,-0.039178601,-0.119031928,-0.286175294,-0.522989854,-0.380432083,0.30009961,21.68014416,0.826074803,0.914343157,0.172310969
210222B,154.631,-14.946,1.98,1.4E+21,3.4,12.82,2.198,-0.068246894,-0.485047611,-0.302334329,-0.495642614,0.13389179,0.29666519,21.14612804,0.531478917,1.107888025,0.342027688
210210A,262.764,14.657,1.85188,1.32799E+21,9.8,6.6,0.715,-0.305157177,-0.492827101,-0.270995595,-0.532540625,-0.938882197,0.267612841,21.12319546,0.991226076,0.819543936,-0.145693958
201221D,171.055,42.152,1.28331,34600000000,3.9,0.16,1.046,-1.356515901,-0.636298672,-0.29988599,-0.570743711,-0.699443094,0.108331578,10.5390761,0.591064607,-0.795880017,0.019531685
201221A,214.488,-45.406,1.45068,7.29997E+22,18,44.5,5.7,-1.047027343,7.250331375,-0.230842842,-0.307711906,2.667171968,0.161571624,22.86332108,1.255272505,1.648360011,0.755874856
201216C,16.364,16.538,2.03,5.6E+21,450,48,1.1,0.024209508,-0.031294428,1.88452171,-0.286949359,-0.660380521,0.307496038,21.74818803,2.653212514,1.681241237,0.041392685
201104B,5.215,7.834,1.55046,5.37756E+21,18,8.66,1.954,-0.862521348,-0.055326061,-0.230842842,-0.520320383,-0.042613168,0.190460566,21.73058526,1.255272505,0.937517892,0.290924559
201024A,125.959,3.357,2.07522,1.69866E+21,8.1,5,0.999,0.107827078,-0.452781114,-0.279319946,-0.542032075,-0.733442,0.317064144,21.23010723,0.908485019,0.698970004,-0.000434512
201021C,12.503,-55.862,1.6168,5.64931E+20,10,24.38,1.07,-0.739850194,-0.57526552,-0.270016259,-0.427066888,-0.68208195,0.208656301,20.75199541,1,1.387033701,0.029383778
201020A,261.239,31.428,2.0761,8.56219E+20,9.2,14.17,2.903,0.10945431,-0.543795792,-0.273933601,-0.487634203,0.643875379,0.317248268,20.93258486,0.963787827,1.15136985,0.462847036
201015A,354.31,53.446,2.1574,2.26653E+21,2,9.78,0.426,0.259788419,-0.391430767,-0.309189677,-0.513676368,-1.147939299,0.333930674,21.35536147,0.301029996,0.990338855,-0.370590401
201014A,20.834,27.722,1.97336,1.42058E+22,3.1,36.2,4.56,-0.080525104,0.898445842,-0.303803332,-0.356948802,1.842517656,0.295206321,22.1524657,0.491361694,1.558708571,0.658964843
200829A,251.136,72.363,1.88219,1.22933E+21,510,13.04,1.25,-0.249110106,-0.503486196,2.178322342,-0.494337539,-0.551873375,0.274663462,21.08966848,2.707570176,1.115277591,0.096910013
200522A,5.668,-0.264,1.38048,4.45814E+20,1.1,0.62,0.4,-1.176836131,-0.5881345,-0.313596686,-0.568014919,-1.166747204,0.140030119,20.6491537,0.041392685,-0.207608311,-0.397940009
200205B,107.76,-56.488,1.90881,5.74E+16,54,458,1.465,-0.199886318,-0.63629247,-0.054562462,2.145234671,-0.396346465,0.280762702,16.75891189,1.73239376,2.660865478,0.165837625
191221B,154.831,-38.152,1.843,2.13E+16,190,48,1.19,-0.321577434,-0.636296371,0.611385637,-0.286949359,-0.595276233,0.265525335,16.3283796,2.278753601,1.681241237,0.075546961
191019A,340.035,-17.34,2.01697,9.57793E+20,100,64.35,0.248,0.00011537,-0.532822095,0.170684689,-0.189958606,-1.276701113,0.304699439,20.98127166,2,1.808548551,-0.605548319
191011A,44.729,-27.853,1.81479,4.47028E+21,3.3,7.37,1.722,-0.373741336,-0.153345392,-0.302823996,-0.527972865,-0.210437554,0.258826378,21.65033473,0.51851394,0.867467488,0.236033147
191004B,49.2,-39.637,1.54076,2.00376E+20,25,37.7,3.503,-0.88045789,-0.614650756,-0.196566101,-0.348050568,1.077903964,0.187734995,20.3018457,1.397940009,1.57634135,0.544440137
190829A,44.542,-8.958,2.0913,1.1197E+22,64,58.2,0.0785,0.137561056,0.57338106,-0.00559569,-0.226441367,-1.399314188,0.320416337,22.04910001,1.806179974,1.764922985,-1.105130343
190719C,240.208,13.005,1.5415,8.99137E+20,51,185.7,2.469,-0.879089535,-0.539159082,-0.069252494,0.529908545,0.329928035,0.187943529,20.95382587,1.707570176,2.268811904,0.39252109
190627A,244.843,-5.302,1.95997,1.8075E+21,0.99,1.6,1.942,-0.105284928,-0.441022708,-0.314135321,-0.562201406,-0.051293739,0.292249424,21.2570784,-0.004364805,0.204119983,0.288249226
190324A,49.603,-47.212,1.9869,8.28969E+20,72,28.4,1.1715,-0.05548791,-0.546739786,0.033577727,-0.40321962,-0.608658781,0.29817601,20.91853829,1.857332496,1.45331834,0.068742293
190114C,54.503,-26.938,1.80689,7.6647E+22,830,361.5,0.42,-0.388349447,7.644372799,3.745259047,1.5727816,-1.152279585,0.256931714,22.88449516,2.919078092,2.558108302,-0.37675071
190114A,65.543,2.196,1.83214,4.41327E+21,8,66.6,3.3765,-0.341658964,-0.159504551,-0.279809614,-0.176611255,0.986396271,0.262958657,21.6447605,0.903089987,1.823474229,0.528466754
190106A,29.877,23.839,1.94587,5.53E+14,60,76.8,1.86,-0.131357633,-0.636298612,-0.025182399,-0.116103262,-0.110610979,0.289113822,14.74272513,1.77815125,1.88536122,0.269512944
